,epoch,scramble_distance,separation,accuracy
0,0.0,0.0,0.006859909147024156,0.10383333265781403
1,1.0,0.0,0.2513048869371414,0.8810833096504211
2,2.0,0.0,0.27116300240159036,0.9269999861717224
3,3.0,0.0,0.26867889612913143,0.9416666626930237
4,4.0,0.0,0.28048053264617917,0.9455833435058594
5,5.0,0.0,0.27533383965492253,0.9448333382606506
6,6.0,0.0,0.27276923313736917,0.9494166374206543
7,7.0,0.0,0.275997207313776,0.9509999752044678
8,8.0,0.0,0.28277739614248276,0.953000009059906
9,9.0,0.0,0.27819719776511187,0.9514999985694885
10,10.0,0.0,0.282678282558918,0.9511666297912598
11,11.0,0.0,0.2696941769123078,0.9509999752044678
12,12.0,0.0,0.2753737635910511,0.9519999623298645
13,13.0,0.0,0.276687595397234,0.950166642665863
14,14.0,0.0,0.2682537697255612,0.9519166350364685
15,15.0,0.0,0.28104038849473,0.9515833258628845
16,16.0,0.0,0.2879103019833565,0.9489166736602783
17,17.0,0.0,0.27768996521830563,0.9495833516120911
18,18.0,0.0,0.27683792456984524,0.949833333492279
19,19.0,0.0,0.2830784392356873,0.9473333358764648
20,20.0,0.0,0.2782295669615269,0.9470832943916321
21,21.0,0.0,0.28324595257639884,0.9485833048820496
22,22.0,0.0,0.28740061655640603,0.9485833048820496
23,23.0,0.0,0.28454150572419173,0.9479166269302368
24,24.0,0.0,0.2927056421339512,0.9469999670982361
25,25.0,0.0,0.28534013971686367,0.9493333101272583
26,26.0,0.0,0.294912088662386,0.9495833516120911
27,27.0,0.0,0.290387655645609,0.9475833177566528
28,28.0,0.0,0.29671521186828614,0.9475833177566528
29,29.0,0.0,0.29585289895534517,0.9479166269302368
30,30.0,0.0,0.2879994304478169,0.9478332996368408
31,31.0,0.0,0.30156841278076174,0.9459999799728394
32,32.0,0.0,0.29860415101051335,0.9459999799728394
33,33.0,0.0,0.3015206798911095,0.9469999670982361
34,34.0,0.0,0.3008701884746552,0.9455833435058594
35,35.0,0.0,0.3097364826500416,0.9478332996368408
36,36.0,0.0,0.31463644132018087,0.9468333125114441
37,37.0,0.0,0.3111980378627778,0.9460833072662354
38,38.0,0.0,0.3006306958198547,0.9465833306312561
39,39.0,0.0,0.31813028126955034,0.9467499852180481
40,40.0,0.0,0.3189626601338386,0.9440000057220459
41,41.0,0.0,0.3251504150032998,0.9440000057220459
42,42.0,0.0,0.3264921814203262,0.9471666812896729
43,43.0,0.0,0.32416015625,0.9461666345596313
44,44.0,0.0,0.30939141005277637,0.9454166293144226
45,45.0,0.0,0.3111270226538182,0.9444166421890259
46,46.0,0.0,0.31814143478870394,0.9443333148956299
47,47.0,0.0,0.3155323787033559,0.9430833458900452
48,48.0,0.0,0.32793630138039587,0.9453333020210266
49,49.0,0.0,0.32556223839521414,0.9448333382606506
50,50.0,0.0,0.33024312734603883,0.9453333020210266
51,51.0,0.0,0.33613505229353907,0.9451666474342346
52,52.0,0.0,0.335561825633049,0.9430833458900452
53,53.0,0.0,0.3421721164882183,0.9426666498184204
54,54.0,0.0,0.3370248480141163,0.9458333253860474
55,55.0,0.0,0.345548644810915,0.9442499876022339
56,56.0,0.0,0.3421400082111359,0.9444999694824219
57,57.0,0.0,0.33292168900370595,0.9424166679382324
58,58.0,0.0,0.3386897167563439,0.9434999823570251
59,59.0,0.0,0.34071367874741554,0.9445832967758179
60,60.0,0.0,0.3409321714937687,0.9431666731834412
61,61.0,0.0,0.3457947243750096,0.9430833458900452
62,62.0,0.0,0.34357735767960557,0.9439166784286499
63,63.0,0.0,0.34404589071869845,0.9422500133514404
64,64.0,0.0,0.33783846884965896,0.9433333277702332
65,65.0,0.0,0.3486985899508,0.9425833225250244
66,66.0,0.0,0.3381499019265175,0.9432500004768372
67,67.0,0.0,0.3392780722677708,0.9402499794960022
68,68.0,0.0,0.3597765010595322,0.9427499771118164
69,69.0,0.0,0.3652826434373856,0.9417499899864197
70,70.0,0.0,0.3578467880189419,0.9432500004768372
71,71.0,0.0,0.35980145901441574,0.9392499923706055
72,72.0,0.0,0.3637980262935162,0.9430833458900452
73,73.0,0.0,0.36265176594257353,0.9427499771118164
74,74.0,0.0,0.35455571874976166,0.9422500133514404
75,75.0,0.0,0.3707719245553017,0.9432500004768372
76,76.0,0.0,0.36361749947071076,0.9429166316986084
77,77.0,0.0,0.3532342259585857,0.9430000185966492
78,78.0,0.0,0.3549963071942329,0.9431666731834412
79,79.0,0.0,0.36508612379431726,0.9423333406448364
80,80.0,0.0,0.37845268636941914,0.940833330154419
81,81.0,0.0,0.3800343200564385,0.9411666393280029
82,82.0,0.0,0.37519199833273886,0.9425833225250244
83,83.0,0.0,0.3733001853525638,0.9424999952316284
84,84.0,0.0,0.374243121445179,0.9424999952316284
85,85.0,0.0,0.38037870794534684,0.9430000185966492
86,86.0,0.0,0.3884783302247524,0.9419999718666077
87,87.0,0.0,0.3786159917712212,0.9422500133514404
88,88.0,0.0,0.37614379569888123,0.9430000185966492
89,89.0,0.0,0.38127303957939146,0.9409166574478149
90,90.0,0.0,0.3829562875628472,0.9401666522026062
91,91.0,0.0,0.3789691363275051,0.9415000081062317
92,92.0,0.0,0.39677328631281855,0.9424166679382324
93,93.0,0.0,0.38804478794336317,0.9419166445732117
94,94.0,0.0,0.39076837211847304,0.9411666393280029
95,95.0,0.0,0.3978222888708115,0.9404166340827942
96,96.0,0.0,0.400124791264534,0.9411666393280029
97,97.0,0.0,0.4086645834147931,0.9415000081062317
